Algorithm,Variable Name,AlgorithmVariable,Titanic Filis,Space - Filis,Flights Aref,Cal Housing Aref,Earthquakes - Aref,WI Breast Cancer - Andy,Stock - Andy,Big Mart - Kapil,Useful (0/1)
Decision Tree,Train Score,1,0.9820359281,1,0.9998814199,0.8546421449,0.8546421449,1,0.205761,,
Decision Tree,Test Score,2,0.7443946188,0.6055045872,0.9991561531,0.7561461794,0.7541528239,0.937062,0.086419,,
Random Forest,Train Score,3,0.9820359281,1,0.9998531538,1,0.8492854769,1,0.205761,,
Random Forest,Test Score,4,0.802690583,0.7145769623,0.9998179938,1,0.8451827243,0.972027,0.092592,,
Support Vector Machine,Train Score,5,0.8982035928,1,0.9997333333,1,0.7934854864,0.969483,0.123456,,
Support Vector Machine,Test Score,6,0.6771300448,0.2971457696,0.98048,0.5945736434,0.7681063123,0.958041,0.092592,,
Linear Regression/ Univariate,Weight coefficient,7,,,-0.00172513,13.85953814,-0.01502821,0.775117,0.858739,,
Linear Regression/ Univariate,y-axis intercept,8,,,11.24637002,199400.7989,3.82692853,0.732407,0.851738,,
KNN,Train Score,9,0.8383233533,0.5485898743,99.94,99.98,79.46,0.920187,,,
KNN,Test Score,10,0.6950672646,0.2762487258,99.93,99.96,75.08,0.965034,,,
ElasticNet,Train Score,11,0.06424540996,0.2400992582,,, ,0.610136,0.848315,,
ElasticNet,Test Score,12,0.06943104147,0.2359691343,,,,0.684589,0.798766,,
ElasticNet,intercept,13,,,-3.78300348,10776.69937,10776.69937,,,,
ElasticNet,reg coeff 1,14,,,0.01847755,248.1289359,248.1289359,,,,
ElasticNet,reg coeff 2,15,,,0.00206471,-5.44182975,-5.44182975,,,,
ElasticNet,reg coeff 3,16,,,0.95452325,-6.59348863,-6.59348863,,,,
Multi-Variate or Beer Foam Ex,Train Score,17,,,0.0008670604361,0.4727203318,0.01678829654,,,,
Multi-Variate or Beer Foam Ex,Test Score,18,,,0.0009214892724,0.4757036544,0.004503593441,,,,
Multi-Variate or Beer Foam Ex,R2 Score:,19,,,0.9195876334,0.01297625606,0.01297625606,,,,
K-Means,Train Score,20,-813247.3174,-2.27E+20,-8017783793,-11554892497,-458635.1346,-21731174.19,-342.63865,,
K-Means,Test Score,21,-189691.9231,-2.05E+20,-2672817597,-4322968252,-145068.3055,-7718723.698,-342.63865,,
Naïve-Bayes,Train Score,22,0.7964071856,0.07577302073,,,,0.939632,0.129629,,
Naïve-Bayes,Test Score,23,0.7802690583,0.07339449541,,,,0.941489,0.074074,,
Neural Network Scikit-Learn,Train Score,24,0.8293413174,0.3899082569,,,,0.939632,0.127572,,
Neural Network Scikit-Learn,Test Score,25,0.7937219731,0.3848114169,,,,0.941489,0.092592,,
Logistic Regression,Train Score,26,0.8008982036,0.3046211349,0.9988059257,0.9913436693,0.7010857523,0.957746,0.871588,,
Logistic Regression,Test Score,27,0.7937219731,0.3129459735,0.9987755946,0.9932170543,0.7136212625,0.958041,0.871588,,
Lasso,Train Score,28,,,,,,0,0.868411,,
Lasso,Test Score,29,,,,,,-0.000192,0.823926,,
